# index label x23b_ref dmc dmc_err mlcc dmc_minus_x23b mlcc_minus_x23b gfn1_minus_x23b gfn2_minus_x23b
1 "CO2" 29.400000 29.400000 0.200000 29.400000 0.000000 0.000000 -7.674796 -8.012156
2 "NH3" 38.700000 38.200000 0.100000 37.600000 -0.500000 -1.100000 -3.281087 -15.491674
3 "Benz" 54.800000 49.800000 0.200000 51.600000 -5.000000 -3.200000 -8.120552 -14.708176
4 "Triaz" 62.600000 60.500000 0.600000 60.300000 -2.100000 -2.300000 -2.979881 -11.399252
5 "Pyz" 64.300000 61.100000 1.100000 64.300000 -3.200000 0.000000 15.169278 20.204576
6 "Triox" 64.600000 62.100000 1.900000 67.800000 -2.500000 3.200000 13.376441 -12.358347
7 "Adam" 71.800000 61.000000 2.300000 66.000000 -10.800000 -5.800000 -14.248562 -38.338186
8 "AcOH" 73.600000 71.700000 0.600000 71.200000 -1.900000 -2.400000 12.661518 5.442857
9 "Pyr" 78.800000 77.300000 0.500000 79.300000 -1.500000 0.500000 -18.356675 -18.326914
10 "Form" 81.100000 81.000000 1.000000 84.000000 -0.100000 2.900000 0.278756 -1.882488
11 "Naph" 81.300000 75.500000 0.500000 82.500000 -5.800000 1.200000 115.968159 110.836916
12 "Cyan" 81.500000 83.600000 0.400000 82.600000 2.100000 1.100000 -6.253299 2.645575
13 "Hex" 84.100000 86.200000 0.600000 88.000000 2.100000 3.900000 -17.270767 8.881452
14 "EtCarb" 88.200000 84.200000 1.300000 86.500000 -4.000000 -1.700000 42.552807 59.883779
15 "1,4-CHD" 90.000000 88.300000 1.000000 94.400000 -1.700000 4.400000 32.240159 11.983551
16 "Imid" 90.400000 88.200000 0.800000 88.400000 -2.200000 -2.000000 71.288846 56.506627
17 "Ox-b" 96.800000 102.300000 0.600000 101.600000 5.500000 4.800000 79.983459 46.401865
18 "Ox-a" 98.800000 102.600000 1.400000 103.000000 3.800000 4.200000 26.981011 12.090260
19 "Urea" 102.100000 108.500000 0.300000 111.000000 6.400000 8.900000 -2.930008 4.034531
20 "Anth" 110.400000 100.200000 0.500000 111.400000 -10.200000 1.000000 223.958443 218.471017
21 "Succ" 130.100000 125.200000 0.500000 128.200000 -4.900000 -1.900000 47.072752 25.569909
22 "Ura" 136.200000 134.300000 0.700000 139.700000 -1.900000 3.500000 31.131407 23.291381
23 "Cyt" 163.500000 156.200000 1.000000 163.100000 -7.300000 -0.400000 22.343425 33.553441
